id,headline,human_label
1,Chip maker warns of a sharp drop in demand,bearish
2,Retailer posts record quarterly profit,bullish
3,Central bank leaves interest rates unchanged,neutral
4,Airline cancels orders after fuel costs surge,bearish
5,Carmaker announces plans for a new factory,bullish
6,Regulator opens an inquiry into the bank,bearish
7,Company appoints a new chief financial officer,neutral
8,Software firm beats earnings expectations,bullish
9,Housing starts fall for a third straight month,bearish
10,The index closed almost flat on light trading,neutral
11,Miner cuts its dividend to fund debt repayment,bearish
12,Drug trial results exceed the target,bullish
13,Annual report to be published on Thursday,neutral
14,Supplier reports delays at two of its plants,bearish
15,Energy group raises its production forecast,bullish
